filename,gt_material,pred_material
228162_foliage_#_41,foliage,foliage
37621_leather_#_29,leather,leather
219670_paper_#_35,paper,paper
207132_bone_#_44,bone,gemstone
204585_sponge_#_8,sponge,fur
29612_concrete_#_38,concrete,glass
203734_rubber_#_18,rubber,rubber
193365_soil_#_16,soil,soil
200663_ceramic_#_46,ceramic,fur
54237_wicker_#_41,wicker,wood
204419_wood_#_0,wood,wood
30367_fabric_#_0,fabric,fur
58498_gemstone_#_11,gemstone,gemstone
198542_paper_#_33,paper,paper
227512_paper_#_40,paper,paper
51885_concrete_#_48,concrete,concrete
23125_glass_#_46,glass,metal
225823_plastic_#_48,plastic,fur
96292_wicker_#_38,wicker,wicker
51144_wax_#_47,wax,leather
232364_foliage_#_28,foliage,foliage
46321_glass_#_33,glass,wax
125522_paper_#_14,paper,paper
45776_concrete_#_27,concrete,soil
198738_foliage_#_44,foliage,foliage
227156_bone_#_22,bone,bone
60016_glass_#_21,glass,metal
220946_fur_#_43,fur,fur
197494_wicker_#_6,wicker,fabric
220336_foliage_#_25,foliage,foliage
34395_metal_#_34,metal,glass
214503_stone_#_35,stone,stone
37130_leather_#_23,leather,rubber
195208_stone_#_14,stone,fabric
212846_fur_#_13,fur,stone
214633_wood_#_8,wood,wood
204602_soil_#_42,soil,soil
202563_bone_#_2,bone,fabric
216313_ceramic_#_48,ceramic,wax
197698_wax_#_39,wax,wax
45312_cardboard_#_30,cardboard,cardboard
37752_gemstone_#_35,gemstone,gemstone
217554_rubber_#_36,rubber,fabric
220307_bone_#_38,bone,bone
45179_cardboard_#_5,cardboard,cardboard
219227_gemstone_#_9,gemstone,foliage
197432_soil_#_35,soil,soil
216835_ceramic_#_25,ceramic,ceramic
53396_sponge_#_4,sponge,sponge
226274_plastic_#_13,plastic,plastic
35753_fabric_#_49,fabric,fabric
22818_rubber_#_28,rubber,sponge
193784_fur_#_9,fur,fur
198126_concrete_#_14,concrete,concrete
145227_ceramic_#_32,ceramic,ceramic
23957_fabric_#_22,fabric,metal
33668_rubber_#_27,rubber,rubber
195937_gemstone_#_24,gemstone,sponge
205858_wicker_#_48,wicker,soil
32096_glass_#_11,glass,wax
55229_wax_#_46,wax,sponge
213543_gemstone_#_23,gemstone,gemstone
135665_leather_#_49,leather,rubber
44609_glass_#_30,glass,glass
181385_cardboard_#_41,cardboard,wood
204523_plastic_#_26,plastic,glass
223714_soil_#_5,soil,soil
37333_glass_#_7,glass,plastic
161389_plastic_#_21,plastic,ceramic
36812_fabric_#_44,fabric,foliage
212302_paper_#_5,paper,cardboard
198213_foliage_#_40,foliage,foliage
212884_fabric_#_39,fabric,fabric
211059_soil_#_27,soil,soil
197486_rubber_#_21,rubber,bone
51579_ceramic_#_18,ceramic,cardboard
227314_rubber_#_14,rubber,wax
206118_metal_#_10,metal,stone
161198_leather_#_42,leather,paper
224071_stone_#_34,stone,stone
39599_plastic_#_43,plastic,ceramic
227352_fur_#_45,fur,fur
229809_paper_#_30,paper,wicker
213382_foliage_#_33,foliage,foliage
204537_foliage_#_46,foliage,foliage
213189_stone_#_3,stone,stone
43469_concrete_#_9,concrete,wood
25937_metal_#_24,metal,concrete
201378_stone_#_20,stone,bone
196882_wood_#_4,wood,stone
32205_ceramic_#_40,ceramic,sponge
206253_paper_#_19,paper,plastic
24093_concrete_#_11,concrete,paper
228379_metal_#_45,metal,glass
207489_soil_#_4,soil,stone
33136_glass_#_45,glass,glass
190616_wicker_#_43,wicker,wicker
37989_metal_#_36,metal,metal
32027_cardboard_#_21,cardboard,cardboard
193502_plastic_#_12,plastic,plastic
204083_plastic_#_40,plastic,glass
35081_cardboard_#_34,cardboard,cardboard
35301_wax_#_44,wax,cardboard
214143_stone_#_26,stone,concrete
39627_wax_#_31,wax,wax
42403_leather_#_15,leather,leather
196613_rubber_#_41,rubber,plastic
24524_glass_#_27,glass,glass
211599_paper_#_20,paper,plastic
24046_leather_#_28,leather,leather
23670_plastic_#_17,plastic,glass
199244_gemstone_#_5,gemstone,sponge
204898_paper_#_10,paper,ceramic
196981_soil_#_28,soil,stone
53829_sponge_#_35,sponge,sponge
42180_fabric_#_23,fabric,fabric
52542_concrete_#_7,concrete,wood
41273_cardboard_#_17,cardboard,cardboard
53189_gemstone_#_43,gemstone,gemstone
195488_fur_#_28,fur,fur
197510_metal_#_12,metal,glass
216238_ceramic_#_31,ceramic,ceramic
205981_rubber_#_9,rubber,rubber
43821_concrete_#_46,concrete,concrete
223561_soil_#_12,soil,concrete
135117_paper_#_48,paper,metal
220347_soil_#_15,soil,stone
198265_rubber_#_20,rubber,ceramic
29867_rubber_#_15,rubber,wicker
52289_rubber_#_42,rubber,rubber
55945_concrete_#_39,concrete,concrete
28352_cardboard_#_26,cardboard,glass
209086_fabric_#_26,fabric,plastic
201630_wicker_#_33,wicker,sponge
38337_plastic_#_28,plastic,plastic
210581_concrete_#_18,concrete,concrete
227294_fur_#_26,fur,fur
211155_wood_#_32,wood,wood
38166_cardboard_#_35,cardboard,paper
193613_wood_#_33,wood,soil
203114_bone_#_0,bone,fabric
224627_stone_#_2,stone,stone
222244_metal_#_5,metal,fur
36669_fabric_#_9,fabric,leather
218981_fabric_#_6,fabric,cardboard
45774_cardboard_#_10,cardboard,foliage
34374_leather_#_7,leather,leather
33550_glass_#_2,glass,glass
54792_wicker_#_27,wicker,wicker
51149_ceramic_#_33,ceramic,ceramic
77459_leather_#_47,leather,leather
206743_metal_#_37,metal,concrete
211301_fur_#_31,fur,fur
35623_sponge_#_22,sponge,sponge
52457_gemstone_#_42,gemstone,soil
207705_concrete_#_19,concrete,concrete
33675_wood_#_27,wood,soil
153445_wood_#_24,wood,wood
52837_wicker_#_23,wicker,wicker
42721_glass_#_10,glass,glass
226773_paper_#_3,paper,paper
225077_foliage_#_30,foliage,foliage
59239_gemstone_#_33,gemstone,gemstone
60985_wicker_#_37,wicker,wicker
220519_glass_#_3,glass,metal
37226_ceramic_#_11,ceramic,ceramic
195197_soil_#_36,soil,concrete
33872_wood_#_45,wood,metal
198040_stone_#_32,stone,stone
27943_wax_#_25,wax,wax
201556_plastic_#_6,plastic,glass
222828_wood_#_41,wood,wood
196787_foliage_#_23,foliage,foliage
201335_fur_#_47,fur,fur
230944_soil_#_23,soil,soil
51527_sponge_#_45,sponge,sponge
44503_leather_#_2,leather,leather
26315_rubber_#_37,rubber,cardboard
42569_concrete_#_28,concrete,concrete
103298_cardboard_#_6,cardboard,cardboard
209806_foliage_#_4,foliage,foliage
30248_plastic_#_31,plastic,paper
230716_metal_#_14,metal,wicker
227713_paper_#_46,paper,paper
24663_glass_#_8,glass,glass
27681_sponge_#_49,sponge,sponge
49702_wicker_#_40,wicker,wicker
46390_fabric_#_2,fabric,fabric
37504_glass_#_13,glass,metal
227755_fur_#_40,fur,fur
209812_stone_#_29,stone,glass
53928_glass_#_35,glass,glass
219536_bone_#_12,bone,bone
52437_wood_#_49,wood,wood
52695_gemstone_#_10,gemstone,gemstone
39073_cardboard_#_38,cardboard,glass
40221_fabric_#_18,fabric,glass
223549_fabric_#_12,fabric,fabric
42674_wood_#_40,wood,wicker
39354_gemstone_#_2,gemstone,gemstone
23294_leather_#_48,leather,wax
44302_wood_#_23,wood,wood
205132_soil_#_43,soil,soil
36676_wood_#_11,wood,concrete
29013_leather_#_33,leather,leather
60545_wax_#_49,wax,wax
193883_leather_#_1,leather,fur
224919_rubber_#_23,rubber,rubber
210783_metal_#_31,metal,metal
199920_foliage_#_24,foliage,foliage
197698_wax_#_26,wax,wax
60801_metal_#_47,metal,metal
217610_foliage_#_47,foliage,foliage
22690_cardboard_#_45,cardboard,cardboard
57582_rubber_#_39,rubber,soil
44495_cardboard_#_19,cardboard,cardboard
194218_plastic_#_33,plastic,metal
23818_fabric_#_32,fabric,glass
38653_wood_#_20,wood,soil
51042_wax_#_6,wax,wax
31751_ceramic_#_17,ceramic,ceramic
44322_plastic_#_15,plastic,paper
217273_plastic_#_7,plastic,cardboard
55395_wax_#_21,wax,rubber
59815_bone_#_26,bone,bone
43974_leather_#_38,leather,leather
218003_ceramic_#_42,ceramic,paper
216132_concrete_#_20,concrete,metal
194885_stone_#_48,stone,soil
231175_gemstone_#_46,gemstone,wax
194711_fur_#_27,fur,concrete
41204_sponge_#_18,sponge,sponge
55366_rubber_#_16,rubber,leather
216112_foliage_#_26,foliage,foliage
213106_fabric_#_43,fabric,plastic
131598_cardboard_#_14,cardboard,ceramic
209542_fabric_#_42,fabric,glass
221246_plastic_#_45,plastic,plastic
199757_wicker_#_1,wicker,wicker
215590_stone_#_43,stone,stone
58195_wicker_#_30,wicker,wicker
210148_foliage_#_19,foliage,foliage
226185_ceramic_#_1,ceramic,ceramic
196962_soil_#_45,soil,stone
193602_bone_#_10,bone,bone
46326_glass_#_0,glass,leather
200875_plastic_#_20,plastic,fur
230741_fur_#_0,fur,fur
217182_wax_#_43,wax,wax
40073_cardboard_#_22,cardboard,cardboard
32472_cardboard_#_16,cardboard,cardboard
206286_rubber_#_7,rubber,rubber
45466_cardboard_#_43,cardboard,wood
49243_ceramic_#_8,ceramic,ceramic
32800_fabric_#_20,fabric,bone
207842_soil_#_44,soil,soil
219940_stone_#_38,stone,stone
58409_wicker_#_29,wicker,rubber
23740_wax_#_48,wax,wax
38815_wood_#_47,wood,wood
136515_ceramic_#_47,ceramic,ceramic
212536_fur_#_38,fur,fur
210341_concrete_#_49,concrete,ceramic
32575_cardboard_#_39,cardboard,glass
208316_fur_#_35,fur,fur
55411_gemstone_#_48,gemstone,gemstone
221896_bone_#_34,bone,fur
57152_bone_#_24,bone,wicker
213514_rubber_#_13,rubber,leather
29780_glass_#_31,glass,glass
212782_concrete_#_15,concrete,concrete
211531_paper_#_9,paper,paper
53460_gemstone_#_17,gemstone,gemstone
205169_soil_#_8,soil,soil
202684_fabric_#_10,fabric,fur
217098_bone_#_5,bone,soil
35002_wax_#_32,wax,wax
42307_glass_#_16,glass,glass
223272_foliage_#_8,foliage,plastic
53657_sponge_#_7,sponge,wicker
225378_stone_#_25,stone,stone
208344_plastic_#_4,plastic,rubber
31986_wood_#_28,wood,paper
57796_cardboard_#_33,cardboard,paper
215343_paper_#_23,paper,ceramic
30124_glass_#_24,glass,glass
41338_bone_#_37,bone,sponge
56383_wax_#_10,wax,wax
200444_fabric_#_14,fabric,fabric
208139_gemstone_#_19,gemstone,gemstone
31861_fabric_#_3,fabric,fur
88679_ceramic_#_29,ceramic,ceramic
133325_leather_#_4,leather,leather
32894_cardboard_#_36,cardboard,cardboard
209294_stone_#_39,stone,stone
55412_rubber_#_25,rubber,rubber
50602_sponge_#_32,sponge,wax
26990_metal_#_39,metal,glass
197698_wax_#_35,wax,wax
30481_glass_#_17,glass,glass
50108_wicker_#_35,wicker,rubber
201630_fur_#_41,fur,fur
195369_metal_#_11,metal,metal
40579_leather_#_31,leather,leather
33946_wood_#_16,wood,wood
110535_fabric_#_19,fabric,leather
204986_metal_#_2,metal,rubber
214747_fur_#_36,fur,fur
223691_bone_#_46,bone,bone
30312_gemstone_#_31,gemstone,gemstone
57460_ceramic_#_23,ceramic,ceramic
198655_foliage_#_12,foliage,foliage
226613_bone_#_17,bone,bone
223606_stone_#_21,stone,soil
231862_plastic_#_0,plastic,plastic
227697_foliage_#_9,foliage,foliage
55439_metal_#_27,metal,metal
199136_wood_#_10,wood,wood
201752_fabric_#_46,fabric,paper
205489_foliage_#_29,foliage,foliage
223691_bone_#_28,bone,bone
55012_wicker_#_24,wicker,wicker
56344_wax_#_3,wax,wax
202722_fur_#_11,fur,fur
210030_cardboard_#_15,cardboard,cardboard
107304_sponge_#_48,sponge,gemstone
40857_stone_#_15,stone,wood
233040_stone_#_5,stone,stone
212064_fabric_#_40,fabric,fabric
219463_metal_#_15,metal,metal
205065_wicker_#_12,wicker,wicker
42729_glass_#_5,glass,glass
208652_metal_#_4,metal,fabric
59202_wax_#_37,wax,wax
232590_plastic_#_3,plastic,stone
196009_fabric_#_38,fabric,soil
52276_leather_#_20,leather,ceramic
59789_wicker_#_31,wicker,wicker
23315_wax_#_40,wax,wax
38421_rubber_#_34,rubber,plastic
208752_soil_#_14,soil,soil
33334_concrete_#_33,concrete,stone
26877_wood_#_12,wood,wood
59556_gemstone_#_47,gemstone,gemstone
32632_concrete_#_41,concrete,concrete
51134_leather_#_41,leather,leather
166603_fabric_#_29,fabric,fabric
160204_wax_#_17,wax,wax
55440_gemstone_#_45,gemstone,gemstone
59073_gemstone_#_14,gemstone,gemstone
218043_stone_#_27,stone,stone
39552_glass_#_20,glass,cardboard
56887_gemstone_#_12,gemstone,stone
49183_gemstone_#_28,gemstone,gemstone
213923_wicker_#_46,wicker,concrete
53636_fabric_#_4,fabric,glass
25515_cardboard_#_8,cardboard,cardboard
165290_cardboard_#_0,cardboard,cardboard
149275_concrete_#_31,concrete,concrete
228392_soil_#_47,soil,soil
59469_ceramic_#_4,ceramic,wax
43042_glass_#_38,glass,glass
223387_wood_#_5,wood,wood
210771_foliage_#_2,foliage,plastic
38334_sponge_#_47,sponge,sponge
228241_paper_#_22,paper,metal
105116_ceramic_#_24,ceramic,ceramic
194422_gemstone_#_3,gemstone,wicker
33793_glass_#_23,glass,metal
136786_wood_#_9,wood,wood
45883_sponge_#_1,sponge,plastic
199957_soil_#_41,soil,soil
231251_bone_#_18,bone,soil
201005_concrete_#_4,concrete,metal
199132_bone_#_14,bone,bone
220647_metal_#_18,metal,wood
220581_ceramic_#_35,ceramic,ceramic
32920_cardboard_#_47,cardboard,cardboard
39176_ceramic_#_49,ceramic,plastic
200808_bone_#_27,bone,fur
210668_concrete_#_2,concrete,concrete
212040_paper_#_43,paper,concrete
202605_fur_#_12,fur,fur
45007_wood_#_13,wood,wood
22996_wood_#_46,wood,glass
205242_paper_#_32,paper,cardboard
202375_wood_#_38,wood,wood
208333_paper_#_34,paper,concrete
40951_leather_#_24,leather,leather
35474_sponge_#_28,sponge,sponge
35901_ceramic_#_36,ceramic,ceramic
201792_ceramic_#_41,ceramic,ceramic
42189_cardboard_#_28,cardboard,cardboard
220035_fur_#_15,fur,fur
210990_metal_#_6,metal,metal
208836_metal_#_42,metal,paper
208171_glass_#_15,glass,plastic
54529_concrete_#_42,concrete,concrete
218916_paper_#_24,paper,foliage
32017_gemstone_#_34,gemstone,gemstone
57090_wicker_#_3,wicker,wicker
126186_leather_#_25,leather,leather
29584_cardboard_#_13,cardboard,ceramic
197078_gemstone_#_6,gemstone,foliage
202182_fabric_#_7,fabric,rubber
56630_metal_#_41,metal,glass
222816_wicker_#_2,wicker,foliage
23023_plastic_#_10,plastic,gemstone
23435_wood_#_26,wood,wood
200077_soil_#_32,soil,soil
232572_wood_#_7,wood,concrete
38539_fabric_#_16,fabric,glass
58108_wax_#_15,wax,wax
55433_sponge_#_39,sponge,sponge
225871_paper_#_25,paper,glass
29004_cardboard_#_7,cardboard,plastic
222681_wax_#_1,wax,rubber
50127_bone_#_40,bone,bone
204085_ceramic_#_44,ceramic,rubber
52733_gemstone_#_27,gemstone,gemstone
225605_foliage_#_16,foliage,foliage
161523_wicker_#_15,wicker,fabric
230844_rubber_#_40,rubber,rubber
211159_foliage_#_5,foliage,foliage
227171_fabric_#_41,fabric,bone
59841_sponge_#_36,sponge,sponge
201292_soil_#_21,soil,soil
56397_wicker_#_22,wicker,wicker
34445_gemstone_#_37,gemstone,gemstone
206044_stone_#_1,stone,stone
160204_wax_#_28,wax,wax
194894_paper_#_42,paper,fabric
58290_gemstone_#_15,gemstone,gemstone
32594_wood_#_34,wood,cardboard
193415_paper_#_36,paper,paper
196337_stone_#_18,stone,stone
209746_foliage_#_7,foliage,foliage
53125_wicker_#_17,wicker,wicker
213010_wicker_#_49,wicker,bone
219458_fur_#_33,fur,fur
205981_rubber_#_11,rubber,rubber
24309_paper_#_47,paper,glass
58415_ceramic_#_19,ceramic,ceramic
38826_gemstone_#_21,gemstone,gemstone
42431_wood_#_31,wood,wood
49570_stone_#_42,stone,concrete
160204_wax_#_22,wax,wax
197698_wax_#_29,wax,wax
205792_stone_#_9,stone,stone
25229_wood_#_21,wood,concrete
227531_concrete_#_36,concrete,concrete
52692_sponge_#_19,sponge,sponge
214714_fabric_#_27,fabric,wicker
231633_paper_#_6,paper,paper
38079_sponge_#_12,sponge,leather
199854_stone_#_45,stone,soil
56620_gemstone_#_8,gemstone,gemstone
201765_fur_#_3,fur,fur
51563_glass_#_28,glass,glass
233003_cardboard_#_2,cardboard,plastic
206538_plastic_#_8,plastic,foliage
51345_wicker_#_47,wicker,wicker
232676_paper_#_26,paper,paper
221998_soil_#_6,soil,soil
200309_fur_#_18,fur,fur
60806_concrete_#_40,concrete,concrete
28404_gemstone_#_25,gemstone,gemstone
213554_bone_#_21,bone,wax
43285_plastic_#_36,plastic,plastic
233125_concrete_#_24,concrete,soil
205618_bone_#_9,bone,bone
53933_wax_#_42,wax,wax
198411_stone_#_30,stone,stone
204881_paper_#_11,paper,rubber
217121_fur_#_25,fur,fur
33525_bone_#_16,bone,bone
218476_wicker_#_14,wicker,wood
222623_plastic_#_11,plastic,plastic
24688_sponge_#_43,sponge,sponge
198448_soil_#_11,soil,soil
29606_wood_#_42,wood,concrete
37436_plastic_#_18,plastic,metal
40760_glass_#_48,glass,glass
52280_bone_#_15,bone,fur
26259_concrete_#_16,concrete,concrete
37268_rubber_#_45,rubber,leather
36829_concrete_#_45,concrete,ceramic
226660_foliage_#_37,foliage,foliage
195076_stone_#_10,stone,stone
31542_glass_#_44,glass,wood
30015_plastic_#_37,plastic,glass
98083_wax_#_41,wax,wax
51596_sponge_#_40,sponge,sponge
57091_wax_#_18,wax,wax
205810_metal_#_9,metal,ceramic
55799_gemstone_#_18,gemstone,gemstone
203114_bone_#_30,bone,bone
118082_sponge_#_30,sponge,sponge
29471_concrete_#_43,concrete,concrete
230844_rubber_#_38,rubber,rubber
208139_gemstone_#_23,gemstone,gemstone
204272_paper_#_39,paper,wood
203734_rubber_#_17,rubber,rubber
233267_bone_#_25,bone,bone
232823_fur_#_14,fur,fur
220809_wax_#_0,wax,ceramic
204139_metal_#_29,metal,metal
233267_fur_#_24,fur,fur
30231_wicker_#_21,wicker,wood
27442_glass_#_49,glass,glass
206796_fabric_#_13,fabric,foliage
36784_cardboard_#_44,cardboard,cardboard
40926_ceramic_#_26,ceramic,ceramic
201454_soil_#_29,soil,soil
43132_fabric_#_15,fabric,wood
24849_glass_#_22,glass,cardboard
40782_plastic_#_27,plastic,plastic
39544_cardboard_#_24,cardboard,cardboard
56226_wicker_#_42,wicker,wicker
56122_leather_#_5,leather,leather
95673_cardboard_#_40,cardboard,cardboard
32353_fabric_#_24,fabric,fabric
220420_leather_#_34,leather,glass
32019_concrete_#_10,concrete,soil
25897_leather_#_13,leather,stone
193855_foliage_#_36,foliage,foliage
205229_ceramic_#_13,ceramic,bone
169985_sponge_#_3,sponge,cardboard
228691_foliage_#_27,foliage,foliage
209477_metal_#_19,metal,concrete
208834_plastic_#_5,plastic,rubber
207352_stone_#_33,stone,metal
33863_fabric_#_33,fabric,fabric
39993_cardboard_#_12,cardboard,ceramic
207266_paper_#_41,paper,rubber
195938_fur_#_19,fur,fur
201347_stone_#_40,stone,soil
59844_leather_#_14,leather,leather
231356_bone_#_19,bone,wood
45816_wicker_#_44,wicker,gemstone
34379_ceramic_#_9,ceramic,cardboard
230842_fur_#_32,fur,fur
227086_fur_#_7,fur,fur
118363_sponge_#_26,sponge,paper
195706_fur_#_2,fur,fur
33021_metal_#_49,metal,ceramic
37940_cardboard_#_11,cardboard,cardboard
217226_stone_#_17,stone,soil
27097_sponge_#_5,sponge,wax
122065_wood_#_30,wood,wood
207649_rubber_#_5,rubber,rubber
56370_wax_#_23,wax,ceramic
35903_glass_#_42,glass,glass
200222_paper_#_16,paper,glass
209598_foliage_#_3,foliage,foliage
23509_rubber_#_30,rubber,glass
211458_fabric_#_36,fabric,fabric
25255_glass_#_26,glass,concrete
217182_wax_#_5,wax,wax
195916_gemstone_#_30,gemstone,gemstone
162913_concrete_#_25,concrete,stone
212580_soil_#_26,soil,soil
27712_rubber_#_46,rubber,rubber
42894_leather_#_37,leather,leather
40523_ceramic_#_37,ceramic,ceramic
30955_rubber_#_43,rubber,fabric
202683_foliage_#_0,foliage,foliage
43607_glass_#_32,glass,glass
195674_foliage_#_35,foliage,foliage
60995_gemstone_#_49,gemstone,gemstone
42386_glass_#_34,glass,wood
51042_wax_#_8,wax,wax
56743_sponge_#_16,sponge,sponge
225733_plastic_#_2,plastic,plastic
60461_concrete_#_34,concrete,concrete
54403_gemstone_#_7,gemstone,gemstone
37405_glass_#_37,glass,glass
232527_wicker_#_10,wicker,concrete
32836_concrete_#_6,concrete,metal
37721_wood_#_43,wood,wood
26505_ceramic_#_3,ceramic,ceramic
214717_soil_#_39,soil,stone
229007_gemstone_#_40,gemstone,wax
28448_rubber_#_35,rubber,sponge
30017_leather_#_26,leather,leather
25976_glass_#_9,glass,glass
227223_rubber_#_31,rubber,concrete
169974_metal_#_25,metal,metal
37797_wood_#_39,wood,wood
229321_metal_#_30,metal,foliage
28652_glass_#_36,glass,cardboard
23755_sponge_#_10,sponge,sponge
204374_stone_#_28,stone,stone
42550_wood_#_15,wood,wood
228563_concrete_#_13,concrete,soil
124248_metal_#_44,metal,metal
24730_metal_#_48,metal,metal
53570_gemstone_#_39,gemstone,soil
210477_bone_#_39,bone,bone
45592_leather_#_43,leather,metal
40573_sponge_#_33,sponge,sponge
228082_wicker_#_9,wicker,wicker
225366_soil_#_7,soil,soil
35784_ceramic_#_30,ceramic,ceramic
223462_foliage_#_32,foliage,foliage
22950_glass_#_47,glass,glass
225497_foliage_#_13,foliage,stone
27943_wax_#_38,wax,wax
212109_cardboard_#_9,cardboard,plastic
204584_stone_#_31,stone,stone
29917_gemstone_#_16,gemstone,bone
25842_fabric_#_28,fabric,cardboard
58441_rubber_#_48,rubber,leather
22613_plastic_#_47,plastic,foliage
223268_paper_#_44,paper,paper
110041_rubber_#_19,rubber,rubber
49591_gemstone_#_29,gemstone,gemstone
216371_metal_#_16,metal,soil
43051_wood_#_37,wood,wood
51955_rubber_#_49,rubber,rubber
42569_wicker_#_28,wicker,wicker
25030_plastic_#_30,plastic,plastic
45842_wood_#_22,wood,wood
199132_bone_#_13,bone,bone
196860_foliage_#_20,foliage,stone
210075_plastic_#_25,plastic,paper
210477_bone_#_42,bone,bone
31937_wicker_#_45,wicker,wicker
231312_soil_#_10,soil,soil
230182_leather_#_6,leather,fabric
53570_ceramic_#_28,ceramic,ceramic
45883_sponge_#_24,sponge,glass
50550_cardboard_#_27,cardboard,cardboard
220333_foliage_#_34,foliage,foliage
198026_plastic_#_32,plastic,plastic
225396_paper_#_31,paper,paper
59084_bone_#_45,bone,bone
110041_rubber_#_44,rubber,rubber
200976_concrete_#_17,concrete,soil
42153_concrete_#_35,concrete,concrete
111950_sponge_#_34,sponge,sponge
226961_metal_#_40,metal,wood
33614_glass_#_12,glass,plastic
232023_plastic_#_1,plastic,paper
35301_wax_#_4,wax,glass
221248_rubber_#_33,rubber,soil
208610_paper_#_15,paper,paper
212142_stone_#_47,stone,concrete
231904_sponge_#_15,sponge,sponge
39422_fabric_#_5,fabric,fabric
224797_stone_#_19,stone,stone
24300_glass_#_6,glass,plastic
232984_soil_#_17,soil,concrete
214443_stone_#_4,stone,concrete
214327_wax_#_45,wax,wax
49722_fabric_#_47,fabric,leather
202946_foliage_#_14,foliage,foliage
204211_paper_#_12,paper,paper
53933_wax_#_24,wax,wax
136869_wicker_#_36,wicker,wicker
197698_wax_#_30,wax,wax
202369_metal_#_32,metal,paper
199796_foliage_#_21,foliage,foliage
201691_stone_#_37,stone,stone
98869_sponge_#_38,sponge,sponge
53407_bone_#_47,bone,bone
43101_fabric_#_1,fabric,fabric
217149_paper_#_38,paper,leather
218475_cardboard_#_48,cardboard,cardboard
55131_gemstone_#_44,gemstone,fur
205648_soil_#_31,soil,soil
216020_plastic_#_46,plastic,plastic
51430_sponge_#_29,sponge,sponge
37809_metal_#_26,metal,concrete
59374_gemstone_#_36,gemstone,gemstone
50183_sponge_#_27,sponge,sponge
212517_soil_#_13,soil,soil
231121_soil_#_2,soil,soil
53933_wax_#_9,wax,wax
35876_metal_#_22,metal,rubber
213064_paper_#_21,paper,paper
49819_cardboard_#_3,cardboard,bone
215431_rubber_#_2,rubber,rubber
60030_gemstone_#_22,gemstone,gemstone
83802_concrete_#_23,concrete,metal
51654_sponge_#_25,sponge,sponge
35102_metal_#_21,metal,paper
204453_foliage_#_1,foliage,foliage
31628_fabric_#_25,fabric,plastic
43503_stone_#_36,stone,concrete
198742_stone_#_8,stone,soil
205488_leather_#_39,leather,fabric
49844_leather_#_35,leather,leather
228158_fabric_#_8,fabric,plastic
